#owner = MAM
#controller = MAM
#add_core = MAM

owner = SYR
controller = SYR
add_core = SYR

capital = "Busra"
trade_goods = wheat
culture = shami
religion = sunni

hre = no

base_tax = 7
base_production = 1
base_manpower = 0

is_city = yes
town_hall = yes
marketplace = yes
local_fortification_1 = yes
road_network = yes
canal_level_1 = yes

discovered_by = muslim
discovered_by = eastern
discovered_by = western
discovered_by = turkishtech

450.1.1 = {
	set_variable = { which = pop_level value = 4 }
}
